건축구분,건물명,대지위치,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),증축연면적(제곱미터),건폐율(퍼센트),용적률(퍼센트),구조,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,세대수,호수,가구수
신축,성준팰리스(중곡3),서울특별시 광진구 중곡동 256-3,390.1,232.08,658.26,,59.49,168.74,철근콘크리트구조,2021-11-02,2022-03-30,2022-12-30,5,0,공동주택,다세대주택,제2종일반주거지역,,,10,,
신축,정익제이타워2차102동,서울특별시 광진구 화양동 111-37 외6필지,648,373.97,2957.69,,57.71,356.06,철근콘크리트구조,2019-07-19,2020-12-17,2022-12-28,8,2,업무시설,오피스텔,준주거지역,,지구단위계획구역,,92,
신축,자양동 229-45 다세대주택,서울특별시 광진구 자양동 229-45,392.6,225.77,659.95,,57.51,168.1,철근콘크리트구조,2021-09-08,2022-02-16,2022-12-27,6,0,공동주택,도시형생활주택(단지형다세대주택),제2종일반주거지역,,가축사육제한구역,20,,
신축,삼성홈타운,서울특별시 광진구 자양동 610-1,253.2,151.8,548.87,,59.95,194.95,철근콘크리트구조,2021-10-21,2022-02-08,2022-12-23,6,1,공동주택,도시형생활주택(단지형다세대),도시지역,대공방어협조구역,학교환경위생정화구역,9,,
신축,중곡동 73-85 공동주택 (서호성21주식회사),서울특별시 광진구 중곡동 73-85 외1필지,275.7,158.8,412.79,,57.6,149.7243,철근콘크리트구조,2022-03-07,2022-05-20,2022-12-22,5,0,공동주택,,제1종일반주거지역,,,8,,
신축,the 리치빌,서울특별시 광진구 중곡동 24-12 외4필지,608.7,352.94,1216.59,,57.98,199.8669,철근콘크리트구조,2022-04-14,2022-04-29,2022-12-21,5,0,공동주택,도시형생활주택(단지형다세대주택),제2종일반주거지역,,지구단위계획구역,22,,
대수선,군자동 464-21  (주식회사 글로우디자인),서울특별시 광진구 군자동 464-21,296.2,148.05,736.9,,49.9831,191.9649,철근콘크리트구조,2022-10-28,,2022-12-20,4,1,제1종근린생활시설,제2종근린생활시설,제3종일반주거지역,,,,,
신축,자양동 222-2  그라시아빌딩,서울특별시 광진구 자양동 222-2 외1필지,271.2,131.05,898.21,,48.32,249.81,철근콘크리트구조,2018-08-03,2018-12-12,2022-12-15,7,2,공동주택,다세대주택,제3종일반주거지역,중심지미관지구,,13,8,
신축,온재,서울특별시 광진구 중곡동 72-10,104.8,61.12,212.43,,58.32,148.0057,철근콘크리트구조,2021-08-31,2022-02-25,2022-12-14,4,1,단독주택,다가구주택,제1종일반주거지역,대공방어협조구역,,,,2
신축,,서울특별시 광진구 화양동 34-68,115,68.88,199.09,,59.9,173.12,철근콘크리트구조,2022-04-26,2022-08-02,2022-12-13,4,0,단독주택,근린생활시설/단독주택,제2종일반주거지역,,,,1,1
신축,중곡동 106-39 단독주택 (방윤석),서울특별시 광진구 중곡동 106-39,223.8,123.65,322.18,,55.25,143.9589,철근콘크리트구조,2021-07-16,2022-05-23,2022-12-13,4,0,단독주택,다가구주택(2가구),도시지역,대공방어협조구역,,,,2
신축,능동 257-22 다가구주택 ,서울특별시 광진구 능동 257-22,116.32,69.59,173.8,,59.83,149.42,철근콘크리트구조,2022-06-10,2022-06-29,2022-12-12,4,0,단독주택,"다가구주택,근린생활시설",제1종일반주거지역,,,,1,4
증축,자양동 근생,서울특별시 광진구 자양동 843-10,409,206.28,966.14,966.14,50.44,196.55,철근콘크리트구조,2021-09-28,2022-01-13,2022-12-12,5,1,제2종근린생활시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,
신축,대영파크빌,서울특별시 광진구 구의동 240-10,240.3,144.08,480.5,,59.96,199.96,철근콘크리트구조,2022-01-27,2022-04-18,2022-12-09,5,0,공동주택,도시형생활주택,도시지역,대공방어협조구역,상대보호구역,13,,
신축,,서울특별시 광진구 구의동 220-35,443.3,265.18,1155.58,,59.82,197.35,철근콘크리트구조,2021-09-29,2022-01-25,2022-12-07,5,1,제2종근린생활시설,사무소 및 휴게음식점,도시지역,,,,7,
신축,,서울특별시 광진구 중곡동 611-3,448.3,238.23,927.84,,53.14,198.17,철근콘크리트구조,2022-01-28,2022-04-07,2022-12-05,5,0,제2종근린생활시설,"사무소,제조업소",제2종일반주거지역,,,,,
신축,권양이재2022,서울특별시 광진구 구의동 65-26,138.5,82.8,272.54,,59.78,196.78,철근콘크리트구조,2021-10-15,2022-04-22,2022-12-05,4,0,단독주택,다가구주택,제2종일반주거지역,,가축사육제한구역,,1,3
신축,중곡동 614-11,서울특별시 광진구 중곡동 614-11,137.9,82.73,248.23,,59.99,180.0073,철근콘크리트구조,2021-10-21,2022-05-18,2022-12-01,4,0,단독주택,다가구 주택,도시지역,대공방어협조구역,,,1,3
신축,오조제제,서울특별시 광진구 중곡동 685-13,84.84,50.74,169.03,,59.8067,199.2339,철근콘크리트구조,2021-10-15,2022-03-14,2022-12-01,5,0,단독주택,다가구주택,도시지역,대공방어협조구역,,,,3
신축,디엔씨스톤,서울특별시 광진구 자양동 603-11,150.6,89,293.68,,59.1,195.01,철근콘크리트구조,2022-03-24,2022-05-11,2022-11-30,5,0,공동주택,"다세대주택,근린생활시설",도시지역,,,7,2,
대수선,누에보,서울특별시 광진구 자양동 553-358,159,78.28,415.9,,49.23,193.04,철골철근콘크리트구조,2022-06-20,2022-07-08,2022-11-29,4,1,제1종근린생활시설,,도시지역,대공방어협조구역,,,5,
대수선,중곡동 59-5  ,서울특별시 광진구 중곡동 59-5,159.7,88.6,373.96,,55.48,215.28,철근콘크리트구조,2022-11-09,,2022-11-21,5,,제2종근린생활시설,다가구주택(5가구),제2종일반주거지역,,중점경관관리구역,,,5
신축,여유재,서울특별시 광진구 자양동 5-6 외1필지,271.7,160.97,470.41,,59.25,173.14,철근콘크리트구조,2022-02-22,2022-05-02,2022-11-21,5,0,공동주택,다세대주택/제1종근린생활시설,제2종일반주거지역,,,16,1,
신축,,서울특별시 광진구 중곡동 75-39 외1필지,261.1,156.16,390.8,,59.81,149.67,철근콘크리트구조,2022-01-25,2022-05-19,2022-11-21,4,0,단독주택,다가구주택 (6가구),제1종일반주거지역,,,,,6
신축,도원빌딩,서울특별시 광진구 중곡동 28-6,330.2,153.99,725.28,,46.64,196.12,철근콘크리트구조,2021-08-24,2022-01-25,2022-11-21,5,1,제2종근린생활시설,,도시지역,대공방어협조구역,상대보호구역,,,
