분류,건축구분,대지위치,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),증축연면적(제곱미터),건폐율(퍼센트),용적률(퍼센트),취소구분,허가_신고일,효력상실일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,세대수,호수,가구수,데이터기준일자
건축허가,신축,서울특별시 광진구 화양동 5-57,94.9,56,314.65,,59.01,257.65,미취소,2023-01-20,,,,5,1,제2종근린생활시설,사무소,준주거지역,,지구단위계획구역,,5,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 352-2 외1필지,238,142.13,609.2,,59.7185,199.2,미취소,2023-01-19,,,,5,1,단독주택,다가구주택/제2종근린생활시설,도시지역,대공방어협조구역,학교환경위생정화구역,,3,7,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 769-10,543.6,324.3,3873.03,,59.6578,568.6663,미취소,2023-01-19,,,,11,2,업무시설,,도시지역,,제1종지구단위계획구역,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 자양동 769-10,543.6,324.3,3873.03,,59.6578,568.6663,미취소,2023-01-19,,,,11,2,업무시설,,도시지역,,제1종지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 48-35,164,97.79,424.86,,59.63,199.36,미취소,2023-01-16,,,,5,1,제1종근린생활시설,휴게음식점,제2종일반주거지역,,,,,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 649-13,526,313.31,2752.41,,59.56,443.55,미취소,2023-01-16,,,,10,1,제2종근린생활시설,"노유자시설,업무시설,다가구주택",일반상업지역,,제1종지구단위계획구역,,,7,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 341-21,132.6,77.67,553.2,,58.57,353.96,미취소,2023-01-13,,,,9,1,제1종근린생활시설,도시형생활주택(단지형다세대),준주거지역,,지구단위계획구역,9,4,,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 131-16,154.47,90.46,490.96,,58.56,267.96,미취소,2023-01-13,,,,5,1,제1종근린생활시설,단독주택(다가구주택3가구),가로구역별최고높이제한지역,대공방어협조구역,,,,3,2023-01-28
건축신고,용도변경,서울특별시 광진구 중곡동 131-16,154.47,90.46,490.96,,58.56,267.96,미취소,2023-01-13,,,,5,1,제1종근린생활시설,단독주택(다가구주택3가구),가로구역별최고높이제한지역,대공방어협조구역,,,,3,2023-01-28
건축허가,대수선,서울특별시 광진구 화양동 7-2,676,365,2622.16,,53.9941,246.5828,미취소,2023-01-11,,,,5,2,제1종근린생활시설,"의원, 약국",도시지역,,지구단위계획구역,,,,2023-01-28
